timestamp,window_slug,signal,action,side,entry_price,exit_price,pnl,balance,btc_price,ai_score,source
2026-03-12T18:39:19.957712,btc-updown-5m-1773329700,NEUTRAL,BUY_FORCED,UP,0.5550,,,100.00,70268.07,1.5,clob-midpoint
2026-03-12T18:39:26.775233,btc-updown-5m-1773329700,NEUTRAL,BUY_FORCED,UP,0.9150,,,100.00,70391.44,1.5,clob-midpoint
2026-03-12T18:39:33.378474,btc-updown-5m-1773329700,NEUTRAL,BUY_FORCED,UP,0.9700,,,100.00,70499.99,-2.0,clob-midpoint
2026-03-12T18:44:56.551838,btc-updown-5m-1773330000,NEUTRAL,BUY_BLITZ,DOWN,0.9950,,,100.00,70382.41,1.5,clob-midpoint
2026-03-12T18:49:15.371576,btc-updown-5m-1773330300,NEUTRAL,BUY_FORCED,UP,0.7450,,,100.00,70449.72,1.5,clob-midpoint
2026-03-12T18:49:22.165971,btc-updown-5m-1773330300,NEUTRAL,BUY_FORCED,UP,0.8950,,,100.00,70443.00,1.5,clob-midpoint
2026-03-12T18:49:28.972354,btc-updown-5m-1773330300,NEUTRAL,BUY_FORCED,UP,0.8850,,,100.00,70449.37,1.5,clob-midpoint
2026-03-12T18:50:02.761866,btc-updown-5m-1773330300,NEUTRAL,SL,UP,0.7450,0.0050,-0.7400,99.26,70396.81,1.5,clob-midpoint
2026-03-12T18:50:02.763774,btc-updown-5m-1773330300,NEUTRAL,SL,UP,0.8950,0.0050,-0.8900,98.37,70396.81,1.5,clob-midpoint
2026-03-12T18:50:02.778172,btc-updown-5m-1773330300,NEUTRAL,SL,UP,0.8850,0.0050,-0.8800,97.49,70396.81,1.5,clob-midpoint
2026-03-12T18:54:20.888810,btc-updown-5m-1773330600,NEUTRAL,BUY_FORCED,DOWN,0.9650,,,97.49,70275.35,1.5,clob-midpoint
2026-03-12T18:54:27.758781,btc-updown-5m-1773330600,NEUTRAL,BUY_FORCED,DOWN,0.9550,,,97.49,70307.14,1.5,clob-midpoint
2026-03-12T18:54:34.635988,btc-updown-5m-1773330600,NEUTRAL,BUY_FORCED,DOWN,0.8700,,,97.49,70332.04,1.5,clob-midpoint
2026-03-12T18:55:04.628162,btc-updown-5m-1773330900,NEUTRAL,SETTLE,DOWN,0.9650,0.9950,0.0300,97.52,70349.25,1.5,clob-midpoint
2026-03-12T18:55:04.629621,btc-updown-5m-1773330900,NEUTRAL,SETTLE,DOWN,0.9550,0.9950,0.0400,97.56,70349.25,1.5,clob-midpoint
2026-03-12T18:55:04.631374,btc-updown-5m-1773330900,NEUTRAL,SETTLE,DOWN,0.8700,0.9950,0.1250,97.69,70349.25,1.5,clob-midpoint
2026-03-12T19:04:35.477725,btc-updown-5m-1773331200,NEUTRAL,BUY_FORCED,UP,0.9650,,,100.00,70398.78,-0.5,clob-midpoint
2026-03-12T19:04:41.331696,btc-updown-5m-1773331200,NEUTRAL,BUY_FORCED,UP,0.9850,,,100.00,70404.25,-0.5,clob-midpoint
2026-03-12T19:04:46.593276,btc-updown-5m-1773331200,NEUTRAL,BUY_FORCED,UP,0.9850,,,100.00,70395.90,-0.5,clob-midpoint
2026-03-12T19:04:57.300156,btc-updown-5m-1773331200,NEUTRAL,BUY_BLITZ,UP,0.9950,,,100.00,70418.86,-0.5,clob-midpoint
2026-03-12T19:05:00.302625,btc-updown-5m-1773331500,NEUTRAL,SETTLE,UP,0.9650,0.9950,0.0300,100.03,70418.86,-0.5,clob-midpoint
2026-03-12T19:05:00.303383,btc-updown-5m-1773331500,NEUTRAL,SETTLE,UP,0.9850,0.9950,0.0100,100.04,70418.86,-0.5,clob-midpoint
2026-03-12T19:05:00.304180,btc-updown-5m-1773331500,NEUTRAL,SETTLE,UP,0.9850,0.9950,0.0100,100.05,70418.86,-0.5,clob-midpoint
2026-03-12T19:05:00.304768,btc-updown-5m-1773331500,NEUTRAL,SETTLE,UP,0.9950,0.9950,0.0000,100.05,70418.86,-0.5,clob-midpoint
2026-03-12T19:09:19.387141,btc-updown-5m-1773331500,NEUTRAL,BUY_FORCED,DOWN,0.9950,,,100.00,69945.11,0.0,clob-midpoint
2026-03-12T19:09:26.847299,btc-updown-5m-1773331500,NEUTRAL,BUY_FORCED,DOWN,0.9950,,,100.00,69945.12,-1.5,clob-midpoint
2026-03-12T19:09:33.696171,btc-updown-5m-1773331500,NEUTRAL,BUY_FORCED,DOWN,0.9950,,,100.00,69979.16,-1.5,clob-midpoint
2026-03-12T19:24:19.253620,btc-updown-5m-1773332400,NEUTRAL,FORCED,UP,0.8800,,,100.00,70330.32
2026-03-12T19:24:25.673229,btc-updown-5m-1773332400,NEUTRAL,FORCED,UP,0.9350,,,100.00,70358.18
2026-03-12T19:24:31.585645,btc-updown-5m-1773332400,NEUTRAL,FORCED,UP,0.8435,,,100.00,70332.22
